Idx_Sample,Mixture Type,Additive Type,SiO2 (%),Al2O3 (%),Fe2O3 (%),CaO (%),MgO (%),LOI (%),Coarse Cggregate (kg/m3),Fine Aggregate (kg/m3),Initial Curing Temp (℃),Final Curing Temp (℃),Nano-Additive (kg/m3),Partical Size (nm),Additive Purity (%),28-d Cubic compressive strength (MPa)
1,Concrete,nano-SiO2,33.06,,,35.37,7.73,0.26,825,825,60,24,0,17,99.88,59.55
2,Concrete,nano-SiO2,33.06,,,35.37,7.73,0.26,825,825,60,24,9,17,99.88,47.48
3,Concrete,nano-SiO2,33.06,,,35.37,7.73,0.26,825,825,60,24,10,17,99.88,47.78
4,Concrete,nano-SiO2,33.06,,,35.37,7.73,0.26,825,825,60,24,9,17,99.88,50.5
5,Concrete,nano-SiO2,33.06,,,35.37,7.73,0.26,825,825,60,24,10,17,99.88,51.7
6,Concrete,nano-SiO2,33.06,,,35.37,7.73,0.26,825,825,60,24,9,17,99.88,56.08
7,Concrete,nano-SiO2,33.06,,,35.37,7.73,0.26,825,825,60,24,10,17,99.88,70.25
8,Concrete,nano-SiO2,36.412,11.379,1.681,34.128,10.31,1.65,777,803,70,23,0,14,99.8,77.54
9,Concrete,nano-SiO2,37.046,11.265,1.664,33.787,10.207,1.646,776,802,70,23,5,14,99.8,78.81
10,Concrete,nano-SiO2,37.68,11.151,1.646,33.446,10.104,1.642,776,801,70,23,10,14,99.8,77.42
11,Concrete,nano-SiO2,38.314,11.036,1.629,33.105,10.001,1.639,775,801,70,23,15,14,99.8,76.19
12,Concrete,nano-SiO2,38.949,10.922,1.612,32.764,9.898,1.635,774,800,70,23,20,14,99.8,73.9
14,blend,nano-SiO2,40.49,16.64,2.49,27.53,7.35,2,0,0,20,20,0,120,98.68,90.41
15,blend,nano-SiO2,48.57,21.09,5.19,14.33,3.97,2.54,0,0,20,20,0,120,98.68,54.04
16,blend,nano-SiO2,41.98,16.54,2.45,26.78,7.17,1.93,0,0,20,20,14,120,98.68,94.86
17,blend,nano-SiO2,50.05,20.96,5.09,14.08,3.9,2.47,0,0,20,20,14,120,98.68,57.02
18,blend,nano-SiO2,43.46,16.45,2.42,26.03,6.99,1.91,0,0,20,20,28,120,98.68,96.08
19,blend,nano-SiO2,51.53,20.84,5.05,13.86,3.86,2.45,0,0,20,20,28,120,98.68,58.81
20,blend,nano-SiO2,44.93,16.36,2.38,25.27,6.81,1.89,0,0,20,20,42,120,98.68,91.76
21,blend,nano-SiO2,50.07,20.47,5.03,13.91,3.85,2.38,0,0,20,20,42,120,98.68,56.77
22,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,0,17,99.9,29.71
23,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,4.72,17,99.9,31.98
24,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,9.43,17,99.9,35.17
25,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,14.15,17,99.9,40.17
26,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,23.58,17,99.9,42.15
27,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,33.01,17,99.9,34.34
28,geopolymer,nano-SiO2,54.66,22.27,,,,,0,0,80,60,47.16,17,99.9,28.51
29,Concrete,nano-SiO2,41.984,9.46,1.369,34.066,5.425,1.625,1099.83,609.83,23,23,0,30,99.5,29.8
30,Concrete,nano-SiO2,42.456,9.377,1.358,33.783,5.376,1.633,1091.3,605.1,23,23,4.5,30,99.5,32.6
31,Concrete,nano-SiO2,42.927,9.293,1.346,33.498,5.328,1.64,1082.78,600.37,23,23,9,30,99.5,34.1
32,Concrete,nano-SiO2,43.405,9.209,1.335,33.214,5.279,1.647,1074.25,595.64,23,23,13.5,30,99.5,35.9
33,Concrete,nano-SiO2,43.882,9.125,1.323,32.928,5.228,1.655,1065.72,590.92,23,23,18,30,99.5,33.4
34,mortar,nano-SiO2,53.4,35.499,2.86,2.14,2.14,,0,613.6,20,20,0,30,99.7,
35,mortar,nano-SiO2,53.4,35.498,2.86,2.14,2.14,,0,613.6,20,20,3.06,30,99.7,
36,mortar,nano-SiO2,53.4,35.499,2.86,2.14,2.14,,0,613.6,20,20,6.14,30,99.7,
37,mortar,nano-SiO2,53.4,35.499,2.86,2.14,2.14,,0,613.6,20,20,9.2,30,99.7,
38,mortar,nano-SiO2,53.4,35.498,2.86,2.14,2.14,,0,613.6,20,20,12.17,30,99.7,
39,mortar,nano-SiO2,53.4,35.498,2.86,2.14,2.14,,0,613.6,20,20,15.34,30,99.7,
40,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,0,25,98,46.94
41,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,0,25,98,69.96
42,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,6.5,25,98,50.46
43,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,6.5,25,98,48.63
44,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,13,25,98,43.82
45,mortar,nano-SiO2,33.97,8.05,2.36,38.88,3.43,0.7,0,1040,23,23,13,25,98,59.82
46,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,0,14,99.65,38
47,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,10,14,99.65,42
48,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,20,14,99.65,48
49,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,30,14,99.65,45
50,Concrete,nano-SiO2,33.59,11.01,1.38,34.07,5.43,2.68,907,790,20,28,40,14,99.65,43
51,Concrete,nano-SiO2,49.365,16.265,4.42,17.86,6.35,1.61,742.88,865.61,70,24,0,,99.8,60.7
52,Concrete,nano-SiO2,49.365,16.265,4.42,17.86,6.35,1.61,740.34,862.65,70,24,5,,99.8,58.4
53,Concrete,nano-SiO2,49.365,16.265,4.42,17.86,6.35,1.61,737.8,859.69,70,24,10,,99.8,57.7
54,Concrete,nano-SiO2,,,,,,,1000,816,,,0,40,99.8,66.17
55,Concrete,nano-SiO2,,,,,,,1000,767,,,18,40,99.8,71.49
56,Concrete,nano-SiO2,,,,,,,1000,718,,,36,40,99.8,78.63
57,geopolymer,nano-SiO2,60.1,25.8,2.58,2.53,0.65,,,,80,20,0,12,99.98,15.37
58,geopolymer,nano-SiO2,60.1,25.8,2.58,2.53,0.65,,,,80,20,1,12,99.98,17.17
59,geopolymer,nano-SiO2,60.1,25.8,2.58,2.53,0.65,,,,80,20,2,12,99.98,22.48
60,geopolymer,nano-SiO2,60.1,25.8,2.58,2.53,0.65,,,,80,20,3,12,99.98,18.29
61,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0,17,99.8,34.29
62,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0.2,18,99.8,46.05
63,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0.4,18,99.8,54.59
64,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0.6,18,99.8,63.47
65,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,0.8,18,99.8,71.9
66,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,1,18,99.8,69.35
67,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,1.2,18,99.8,67.79
68,paste,nano-SiO2,57.2,24.4,6.1,4.24,2.4,1.58,0,0,35,35,1.4,18,99.8,64.02
69,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,0,30,99.95,48.76
70,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,8.6,30,99.95,49.62
71,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,17.2,30,99.95,53.62
72,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,34.4,30,99.95,54.18
73,slag,nano-SiO2,32.48,16.34,0.65,37.28,8.56,1.63,0,0,20,20,51.6,30,99.95,52.86
74,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,0,50,,78.91
75,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,0.5,50,,84.15
76,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1,50,,88.54
77,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1.5,50,,81.8
78,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1,50,,79.55
79,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1,100,,85.57
80,geopolymer,nano-SiO2,44.514,26.232,3.893,16.595,3.14,0.265,0,0,20,20,1,10,,94.9
81,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,60,27,0,10,99,18.57
82,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,4,10,99,14.04
83,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,6,10,99,18.02
84,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,8,10,99,19.06
85,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,10,10,99,19
86,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,4,10,99,30.98
87,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,6,10,99,36.44
88,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,8,10,99,35.88
89,mortar,nano-SiO2,64.97,26.64,5.69,0.33,0.85,0.45,0,,27,27,10,10,99,33.86
